"corpus","preloaded/notenten17_bokmal_obt2"
"subcorpus","-"
"concordance size","263133"
"query","Query:[ws(1, 102767041)]"
"Reference","Left","KWIC","Right"
"frifagbevegelse.no",". </s><s> klokken ett i dag møter arbeidslivets parter arbeidsminister Robert Eriksson . her vil LO bli møtt med forslag om å","endre","<coll>arbeidsmiljøloven</coll> når det gjelder midlertidig ansettelser. </s><s> bestilling av klubbtøy </s><s> Nå er det endelig klart for å"
"beconfident.no","på papirkurven til høyre for varen i handlekurven eller så klikker du på ""Endre"". vil du tømme hele handlekurven, eller","endre","<coll>antallet</coll> bestilte varer, klikker du på ""Endre"". du kan også ta bort varer i ""kassen"". </s><s> er du fornøyd og vil sende din"
"hakomaskin.no",". </s><s> brukt utstyr selges i prøvet og besiktiget stand dersom ikke annet er avtalt (særlige vilkår.) </s><s> Dersom <coll>prisen</coll>","endres","fra fabrikk eller leverandør, eller valuta endres, toll og avgifter heves eller senkes blir kjøpesummen å endre"
"hakomaskin.no","stand dersom ikke annet er avtalt (særlige vilkår.) </s><s> Dersom prisen endres fra fabrikk eller leverandør, eller <coll>valuta</coll>","endres",", toll og avgifter heves eller senkes blir kjøpesummen å endre tilsvarende. </s><s> selgeren har intet ansvar for følgeskader"
"erfaringskompetanse.no","til selv å se hvor ødeleggende skulkingen var for hennes framtidsutsikter . hun sa hun så denne siden av det, men dette","endret","ikke hennes <coll>adferd</coll> for etter kort tid var dette glemt og jenta var borte fra skolen igjen. </s><s> læreren hadde noen samtaler"
"l2l.no","med lærlinger og gjennomføre praksiskandidatkurs for medlemsbedriftenes ansatte. 27.mars 2014 vedtok årsmøtet å","endre","stiftelse <coll>navnet</coll> til: L2L (Live2Learn) flerfaglig opplæringskontor. </s><s> Opplæringskontorets forretningsidé er"
"kommune.no","avløpsnett. </s><s> størrelsen på tilskuddet: tilskuddet er knyttet til Folketrygdens grunnbeløp, G. Grunnbeløpet","endres","én <coll>gang</coll> pr. år og er fra 01.05.14 kr. 88.370,-. </s><s> uten støtte vil ikke Norge nå sitt mål om 14 TWh bioenergi innen 2020, mener"
"kommune.no","avløpsnett. </s><s> størrelsen på tilskuddet: tilskuddet er knyttet til Folketrygdens grunnbeløp, G. <coll>Grunnbeløpet</coll>","endres","én gang pr. år og er fra 01.05.14 kr. 88.370,-. </s><s> uten støtte vil ikke Norge nå sitt mål om 14 TWh bioenergi innen 2020, mener"
"femelle.no","seg etter kjente regler. </s><s> jeg føler for en liten forandring nå som høsten er kommet, så jeg kommer til å forsøke å","endre","<coll>designet</coll> på bloggen fremover . vekk med lyserosa . mens jeg mikser og trikser kommer nok bloggen til å se ut som crap ,"
"blogspot.no","blir Julie trukket mot et rødt lys som skinner forlokkende ute i alt det mørke, og gjenstanden hun finner skal vise seg å","endre","<coll>livet</coll> hennes radikalt! plutselig viker maurene på skogbunnen vekk fra henne, katten hennes viser tydelig redsel når"
"slideplayer.no","kommer en klage på en standpunktkarakter, skal denne sendes til klageinstansen, jf. § 3-39 tredje ledd . rektor kan","endre","<coll>føringsfeil</coll> , se før øvrig merknad til § 3-39. </s><s> lysbilde 57 </s><s> Lysbilde 59 </s><s> Oslo kommune Utdanningsetaten 59 Merknader til §"
"blogspot.no","horde forveksles visst litt av og til... </s><s> Torfinn i velkjente kliv og fin stil, knipset av Trond TH. </s><s> da Karl Johansgate","endret","<coll>karakter</coll> fra oppover til nedoverbakke klarte jeg å øke tempoet litt, ja faktisk såpass mye at jeg nå begynte å spise meg"
"arrvev.no","andre tekster i sin tur påberoper seg denne teksten . hvis utsagnene sakte men sikkert får faktastatus kan dette","endre","<coll>forholdet</coll> mellom det sette og det sagte . for eksempel vil sykdom ses på en helt bestemt måte når man (i klinikken på"
"floyenopp.no","[...]_______________________ </s><s> Endring av Klasse og annet </s><s> Fra utøverprofilen kan man blant annet","endre","<coll>klasse</coll> , etterbestille engangs lisens hvis man glemte dette ved påmelding . dersom arrangementet har flere"
"terestromso.no","botislkudd fra kommunen pr måned det er nåk til at bedriften står å går 2000 pr måned jeg klarer det bare av det. </s><s> brystene","endrer","<coll>form</coll> , fasthet og konsistens med alderen . noen kvinner har etter at de er helt ferdig med pubertet og vekst små og"
"okonomiforbundet.org","videreføres men kravene til profilering/videreføringsemner gjøres mindre detaljert. </s> <s> <coll>Praksiskravet</coll>","endres","slik at minst ett av de to praksisårene må være hos en autorisert regnskapsfører </s><s> Beliggenhet D Varee Diva Bally"
"victoriadesiree.com","and you feed him for a lifetime! </s><s> "" informasjon er altså nøkkelordet! kan du ikke noe, og vet du ikke noe om hvordan du kan","endre","<coll>tankegangen</coll> og livet ditt så blir det vanskelig å gjøre noe med det . du må ha informasjon og forståelse for å klare det ."
"normal.no","så mye og sier vel fortjent! </s><s> Willy Pedersen i Morgenbladet: for to måneder siden foreslo jeg i Morgenbladet å","endre","<coll>politikken</coll> på cannabisfeltet . det ble debatt, her i avisen og i andre medier . men vi fikk også en forskningspolitisk"
"sverresborg.no","det handler også om at vi er et flerkulturelt samfunn som må dokumenteres før det er for seint, fordi <coll>samfunnsbildet</coll>","endres","hele tiden . i programmet hører vi om en reise fra krig og usikkerhet til trygge Norge som gir rom for nytt liv. </s><s> hvordan"
"kunnskapsriktrening.com","gode treningsvaner svært viktig . å komme i form på kortest mulig tid er kanskje ikke den mest langvarige løsningen på å","endre","<coll>livsstil</coll> , om en aktiv hverdag ikke blir en god vane . det er selvfølgelig mulig å få en superstart med en periode med"
"blogspot.no","we do not retain dividends from the fund As this would be illegal. </s><s> "" </s><s> når jeg så påpeker at Berges opplysninger er feil,","endres","<coll>argumentasjonen</coll> til at dB bruker en feil referanseindeks som ikke er utbyttejustert . det er noe uklart for meg"
"laraskiftetleve.com","fremme en bærekraftig utvikling og hjelpe oss ut av fossilalderen. </s><s> "" </s><s> ""verdens forbruk av fossil energi er i ferd med å","endre","<coll>klimaet</coll> på jorda. </s><s> Norge har et særlig ansvar for å kutte utslipp og for å utvikle nye, miljøvennlige energiløsninger ."
"blogspot.no","side på at kursene han kjøper til jevnt over er lavere enn de han selger til. </s><s> det er imidlertid helt avgjørende at roboten","endrer","<coll>kjøps</coll> og salgskursene kontinuerlig i takt med ordretilgangen . hvis ikke vil eksempelvis en økning i tilbudet føre"
"sunthjem.no","er alarmerende. </s><s> løsningen er enkel . vi må ha matkunnskap, matvett og matglede tilbake inn i de norske hjem . å","endre","<coll>kostvaner</coll> tar tid, de må innarbeides grundig og de må integreres i hele familien . noe jeg ofte opplever på mine"
"sunthjem.no","er vonde og vende . uttalelser som "" ikke bli helt hysterisk nå da .."" holder oss tilbake i de dårlige vanene . vi kan","endre","<coll>adferd</coll> , men vi må ønske det . vi må gi oss selv muligheten til å gjøre varige livsstilsendringer som kroppen, tiden,"
"audunlysbakken.no","større tillit mellom folk enn de fleste andre land . flere av disse prosessene bidrar nok tyngre enn innvandring til å","endre","norsk <coll>kultur</coll> og norske verdier . uansett er økt mangfold og raskere forandring en utfordring for et samfunn . i en slik"
"galleristorck.com","århundret i Amerika . navnene i United States Social Security Agencys arkiver utgjør en slags organisk masse som","endrer","<coll>form</coll> og substans gjennom årenes løp. </s><s> Timon Botez er utdannet grafisk designer ved London College of Communication ."
"honestthinking.org","borgerskapet fikk nærmest sjokk. </s><s> De som faller utenfor. en gruppe minoritetsungdom som har opplevd stigmatisering,","endret","<coll>bildet</coll> av seg selv fra å være marginaliserte til en politisk fiende. </s><s> TOR BACH - avdelingsleder, Antirasistisk Senter. </s>"
"godtiglasset.com","anno 1972 </s><s> Jeg er for forsiktig – på grensen til feig – når det kommer til å kombinere mat og øl . grunnen er enkel: mat og øl","endrer","<coll>karakter</coll> i møtet med hverandre, og jeg vil ikke frontkollidere en baltisk porter mot en kryddersterk"
"ntfe.no","nye nettutgaven er over 100 matvarer nye, 230 har fått oppdatere verdier og 10 er slettet . en del <coll>matvarenavn</coll> er også","endret","for å lette søket etter matvarer i databasen . de nye matvarene er valgt med bakgrunn i etterspurte varer, ønske om"
"ntfe.no","innhold av et bestemt næringsstoff. </s><s> Næringsstoffverdiene er oppgitt for 100 gram matvare, men det er også mulig å","endre","<coll>mengden</coll> . </s><s> Søkeresultatet kan lastes ned og lagres som regneark og skrives ut i utskriftsvennlig format . kilder og"
"haugesundnytt.no","regiondirektør i Forbrukerrådet, Terje Kili, til NRK i 2009. </s><s> annonse </s><s> – Dette er en tjeneste </s><s> På tross av klagen","endret","ikke <coll>Haugesund</coll> på ordningen . ikke før den 28. mai i fjor, da ny organisering av SFO sto på dagsorden og et enstemmig"
"canariposten.com","rettsvesen med lover og regler som regulerte samfunnet og som skapt ro og harmoni i staten i en årrekke . men med årene","endret","<coll>innbyggerne</coll> seg og ble grådige og maktsyke og begynte å bygge et slagkraftig forsvar beregnet på krigføring . og"
"kirken.bodo.no","det nye menighetsrådet skal ha 8 medlemmer foruten soknepresten . i ettertid kan menighetsmøtet i henhold til § 6","endre","antall <coll>medlemmer</coll> i rådet. </s><s> tusen takk Viggo! du var en veldig hyggelig gjest å ha på besøk og du er hjertelig velkommen"
"jonfrode.no","ved først å hevde at skoleeiere og ledere vil kontrollere og styre mer fordi lærerrolle og faglige <coll>resultater</coll> er","endret","og svekket . skylden ""ligger i den skolepolitikken som har vært ført etter krigen og den pedagogiske forskningen som"
"grysinding.no","han kom inn i rommet og jeg fikk svettetokter av bare å tenke på kunne kysse han . jeg gjør ikke lengre det. <coll>følelsene</coll> er","endret","seg . jeg skulle gjerne hatt mer av den forelskelsen i hverdagen . kjærligheten er der, bare i en annen form – hjertet"
"snapporder.com","du disse Brukervilkårene og ansvarsbegrensningene som er definert av Snappit. </s><s> Snappit forbeholder seg retten til å","endre","<coll>Brukervilkårene</coll> og ansvarsbegrensningene. </s><s> b. </s><s> Snappit begrenser og innskrenker ikke sitt ansvar for svikaktige"
"snapporder.com","kontaktdetaljer og identifiserer ikke deg som person . de fleste nettlesere godtar cookies automatisk, men du kan","endre","<coll>innstillingene</coll> på netteleseren slik at de avvises . du kan benytte deg av vår Nettside også uten bruk av cookies ."
"snapporder.com","eller materiale. </s><s> 9 – Oppdatering av vår Personvernpolicy </s><s> Vi kan fra tid til annen og etter eget forgodtbefinnende","endre","denne <coll>Personvernpolicyen</coll> <coll>.</coll> vi vil i slike tilfeller informere tydelig om dette på vår nettside og i Tjenesten . ved å"
"milforum.net","var svært optimistiske og ikke regnet med at det ville være noen militær trussel mot Norge de neste 15-20 årene,","endret","<coll>vurderingene</coll> seg fra rundt 2006–2007 i retning av at den sikkerhetspolitiske situasjon var uforutsigbar ."
"laraskiftetleve.com","transport av vindturbiner og andre materialer, prosessutslipp som følge av blant annet stål- og sementproduksjon,","endret","<coll>arealbruk</coll> , herunder minsket binding av karbon i myr og skog, økt forbruk av energi som følge av lavere energipris og"
"laraskiftetleve.com","innenfor kultur, turist/reiseliv og naturbaserte opplevelser . realiseres vindkraftverket, må <coll>varemerket</coll>","endres","! kommunene kan ikke risikere å tape etablerte arbeidsplasser. </s><s> etablering av et vindkraftverk på Raskiftet, vil"
"imageakademiet.no","selv om hans deltakelse i Stylistene unektelig har påvirket karrieren hans i ettertid, forteller han om et ønske om å","endre","<coll>moteverdenen</coll> i Norge . for det første fokuserer han mye på dette med holdning, å ikke være overlegen eller ufin mot"
"fedup.no","begynte andre rundt meg å engasjere seg også . jeg fikk en plass i en samtalegruppe . tenk at samtaler om hverdagen kan","endre","<coll>livet</coll> ditt . ikke med fokus på diagnose, men å tørre å dele, å anerkjenne, og tørre å stole på at andre kan bære det som er"
"downloadcentral.no","dem som ringetoner på mobilen . samtidig kan du rippe flere lydfiler samtidig, og dessuten kan programmet brukes til å","endre","<coll>størrelsen</coll> på mp3-filene . dette betyr at en mobil med hukommelse på 64MB kan inneholde mer enn 60 lydspor . et godt"
"bymisjon.no","<s> Generalsekretær Sturla Stålsett kommenterte utspillet i NRK Dagsnytt og VG med disse ordene: </s><s> - det at Frp vil","endre","<coll>loven</coll> for å forby oss å hjelpe syke illegale innvandrere, bekrefter at det vi gjør, faktisk er lovlig i dag . det har også"
"veierlendingen.no","saken gjaldt parkeringsavgiftene generelt . så langt er vi altså enige. </s><s> men det Bøe åpenbart ikke forstår, er at saken","endret","<coll>karakter</coll> i formannskapet den 12.12.12 og senere i kommunestyret samme dag . da dreide seg ikke lenger bare om"
"veierlendingen.no","regelverket er blitt praktisert siden 1973 . forslaget om å "" forutsette"" (Kst. vedtak 12.12.12) at garasjesameiet","endret","sine <coll>vedtekter</coll> i tråd med dette, ble fremmet ""over bordet"" uten forutgående saksutredning, og uten at opposisjonen"
"raseri.nu","proteinet elastin som brytes ned av blant annet nikotin . dette proteinet er også viktig for ungdommelig hud . altså","endrer","ikke kvinnebryster <coll>form</coll> når babyen drar, sliter eller suger på sin mors bryster . hadde Jan Thomas sin teori vært"
"raseri.nu","og gnir inn i sin egen stramme maskuline hud. </s><s> (sjekk ut www.forsking.no, om du ikke tror meg.) </s> <s> <coll>Kvinneidealet</coll> er kraftig","endret","på kort tid, og nærmer seg faretruende bokstavelig talt farlige former . anorektiske modelljenter besvimer av"
"raseri.nu","i seg selv strekker hud, og har som alle vet en viss påvirkning på brystformen . en kvinne eldres og utvikles, og <coll>kroppen</coll>","endres","på naturlig vis i takt med dette . kvinnen endres til det bedre med årene, vil mange av oss menn hevde sterkt, og vi skal ha"
"raseri.nu","påvirkning på brystformen . en kvinne eldres og utvikles, og kroppen endres på naturlig vis i takt med dette . <coll>kvinnen</coll>","endres","til det bedre med årene, vil mange av oss menn hevde sterkt, og vi skal ha oss frabedt at pudderkvasten Jan Thomas skal"
"audunlysbakken.no","å måtte henvise til praksiser de har dype personlige motforestillinger mot . men den sympatien jeg føler for dem,","endrer","ikke det avgjørende <coll>argumentet</coll> i denne saken: Fastlegene er navet i pasientens kontakt med helsevesenet, og kan ikke"
"eirinkristiansen.no","trenings klær (litt billigere) . vet du noe om sportsdirect.com? jeg har selv aldri hørt om det. </s><s> om du ikke kommer til å","endre","<coll>synet</coll> ditt på supermat, og om du velger å lytte til Oppsahls empiri er det selvfølgelig helt ok! men du bør uansett se den"
"fhl.no","for å sikre like konkurransevilkår </s><s> Bakgrunnen for saken var at Sildelaget tidligere i år med umiddelbar virkning","endret","sitt <coll>regelverk</coll> , og tillot landinger av fisk til anlegg som bruker trommelsil for å sile bort vann fra råstoff. </s>"
"vaulen.com","på midten. </s><s> Tore Søraas felte så en Solaspiller på vei igjennom og fikk gult kort etter 43 minutter . et Solaskudd","endret","<coll>retning</coll> etter 44 minutter, keeper Tommen var utspilt, men heldigvis gikk ballen centimetre utenfor. </s><s> aNDRE oMGANG"
"ungdomogmedier.no","et det er behov for økt bevisstgjøring rundt virkninger av reklame – ikke minst fordi den tilsynelatende har makt til å","endre","vår <coll>selvfølelse</coll> : </s><s> – Vi tror at retusjerte bilder kan styrke reklamens angrep på selvfølelsen, fordi det skaper en"
"sinusmagasinet.no","når man rehabiliterer næringsbygg, er føringsveiene stort sett tilgjengelige slik at det ikke er vanskelig å","endre","<coll>kablingsstrukturen</coll> , sier Høyem. - vi har hatt flere rehabiliteringsprosjekter med denne teknologien i slike bygg. </s>"
"iallenkelhet.no","stor endring, og så kan heller gjøre flere tester senere for å finpusse. </s><s> test en variabel av gangen </s><s> Hvis du ender med å","endre","<coll>farger</coll> , tekst og plassering av elementer så aner ikke du ikke hvorfor den ene varianten gjorde det bedre enn den andre ."
"xmag.no",", til forskjell fra avisens massepublikum . fotografiet, samtidens mest populære manifestasjon av imagemaking,","endrer","stadig <coll>mening</coll> etter den sammenhengen bildet presenteres i . blikket vi møter gatebarnet i Brasil med kan derfor både"
"askoymagasinet.no","for kommunen, samt ønsket om å styre lærerne, enn på kvalitet i skolen . vårt budskap er at om <coll>arbeidstidsavtalen</coll>","endres","slik KS vil, så vil det gi dårligere skole . det er det ingen som helst tvil om. </s><s> -men forstår du at enkelte minner om at dere"
"askoymagasinet.no","for kommunen, samt ønsket om å styre lærerne, enn på kvalitet i skolen . vårt budskap er at om arbeidstidsavtalen","endres","slik <coll>KS</coll> vil, så vil det gi dårligere skole . det er det ingen som helst tvil om. </s><s> -men forstår du at enkelte minner om at dere"
"dittoslo.no","jobben . byrådet garanterer for at kvalitetskravene opprettholdes og at åpningstider og <coll>betaling</coll> ikke blir","endret",". </s><s> det er nå snart ett år siden det ble slutt på bleiebruk her, men gutten vår tålte kun Libero bleiene, så det var de vi"
"sexogpolitikk.no","foreldregenerasjonen kan fortelle om pinlig, mangelfull og begrenset seksualundervisning, kan <coll>opplevelsene</coll> nå","endres",": dagens unge kan få kunnskaps- og rettighetsbasert og nyttig seksualundervisning som gjør dem rustet til å erobre,"
"squarespace.com","Ottar mener det mest essensielle spørsmål å stille, om det er i forskning eller i hverdagsliv . det er umulig å","endre","en <coll>samfunnsstruktur</coll> om en ikke har svar på hvorfor det er slik eller slik . mange av de tiltakene som er foreslått i denne"
"squarespace.com","for menn og gutters forakt for kvinner . menn må læres opp til å se sin egen rolle som mann og unge gutter må få støtte til å","endre","<coll>handlingsmønsteret</coll> . </s><s> 4 . kommentarer til Kapittel 3 </s><s> Kvinnegruppa Ottar deler de fleste synspunkter og forslag til"
"vkm.no","som dyrefôr og gjødsel. </s><s> Genmodifiseringen av Modena har medført at stivelsessammensetningen i <coll>potetknollene</coll> er","endret","ved at andelen av stivelseskomponenten amylopektin er økt med 20-30% sammenlignet med konvensjonelle potetsorter. </s>"
"sinusmagasinet.no","og komplisert fordi Schneider Electric er et komplekst konsern i kontinuerlig vekst . derfor vil det ta tid å","endre","alle <coll>nettsider</coll> og få alle funksjonene på plass . vår hovedutfordring er å gjøre informasjonen om produktene lettere"
"forskning.no",". </s><s> de har bedømt laksen i seg selv, sausen, og blandingen av de to . spørsmålet man har forsøkt å få svar på er: hvordan","endres","<coll>smaksprofilen</coll> i laksen når man spiser den sammen med saus? </s><s> – Vi har sett at noen egenskaper i laksen dempes, som smaken av"
"oekonomi.no","tilstand. </s><s> Markedsklarering hvor prisene er stabile. </s><s> elastisitet </s><s> Sier hvor mange prosent verdien på en <coll>variabel</coll>","endres","når vi øker en annen variabel med 1%. </s><s> elastisk etterspørsel </s><s> Uttrykk for hvor følsomheten i etterspørselen etter en"
"oekonomi.no","tilbud (etterspørsel) </s><s> Elastisiteten er et mål på hvor mye tilbudet (etterspørselen) endres i prosent når <coll>prisen</coll>","endres","med én prosent . dersom tilbudet (etterspørselen) endres mye, er tilbudet (etterspørselen) elastisk . endres det"
"oekonomi.no","når inntekten øker. </s><s> en kurve i togodediagrammet som viser konsumentens endring i forbruk av de to godene når <coll>inntekten</coll>","endres","(det vil si når budsjettlinjen skifter). </s><s> Enhetsregisteret </s><s> Offentlig register som inneholder opplysninger om"
"uio.no","en artikkel i forskningstidsskriftet Science der de blant annet tar til orde for en omfattende endring av FN. </s> <s> <coll>jorda</coll>","endres","av oss mennesker </s><s> Bakgrunnen er denne: forskning tyder på at menneskelig aktivitet endrer en rekke av jordens"
"uio.no","systemer, som for eksempel klima og artsmangfold, forbi hva som kan regnes som naturlig variasjon . dersom vi ikke","endrer","<coll>kurs</coll> , kan vi stå i fare for å utløse raske og irreversible endringer av en eller flere av disse systemene . dette kan i sin"
"nettbladet.com","skrevet, men i fremtiden håper jeg de blir kortere. </s><s> "" </s><s> ""du er dyktig, men altfor ukonsentrert. </s><s> "" </s><s> merk deg hvordan <coll>trykket</coll>","endres","fra å være positivt, for så å viske vekk det positive ved å påpeke noe i motsetning til. </s><s> forsøk å strukturere ting"
"inspecta.com","mer konkurranse . i 1995 ble monopolet på det svenske inspeksjonsmarkedet opphevet og Svensk Anläggningsprovning","endret","<coll>navn</coll> til SAQ Kontroll aB, senere DNV . i januar 1998 ble også det finske markedet deregulert og samtidig ble Inspecta"
"pergjendem.com","å skje etter 1945 . har ikke professor Einar Kringlen gjort oppmerksom på fenomenet? norske nazistiske leger som ikke","endret","sin <coll>praksis</coll> , blir stadig beskyttet gjennom foreldelsesregler når det gjelder kastrasjoner av sigøynere og """
"fedup.no","å sitte igjen med restskatt . mange sier at det er bare å betale mer eller gjøre sånn eller slik . men når du går inn for å","endre","<coll>skatt</coll> , og dette ikke lar seg gjøre, eller at man ikke forstår sammenhengen mellom tallene og skriver feil, er det og blir"
"trollweb.no","identisk med bestillingen, men som har noen ekstra felter som kan editeres . når en faktura opprettes kan du velge å","endre","<coll>antallet</coll> på hvert enkelt produkt, og på den måten kan du fakturere ut og sende de varene som er på lager og utelate evt."
