"corpus","preloaded/notenten23_tt1_1"
"subcorpus","-"
"concordance size","95159"
"query","Query:[ws(1, 17276161)]"
"Reference","Left","KWIC","Right"
"vi.no","deres, eller legge merke til ting som skjegg, hårfrisyre, smykker, klær eller vesker. </s><s> Problemet oppstår idet venner","skifter","<coll>frisyre</coll> eller kjøper nye briller. </s><s> Hun beskriver det som at ansikter ikke fester seg i hennes hukommelse, alt hun ser er"
"kk.no",". </s><s> Men selv om Trump ikke møtte opp i Texas iført de oppsiktsvekkende skoene, har fremdeles ikke Chelsea Handler","skiftet","<coll>mening</coll> : ""Um... </s><s> Hun tok på joggeskoene etter alle kommentarene på Twitter på vei til Houston. </s><s> Hun lagde de antageligvis"
"tu.no","innen olje- og </s><s> gassindustrien er voksende. </s><s> Dessuten må flere 10 til 15 år gamle kabler og <coll>umbilicals</coll> snart","skiftes","ut, sier Birkeland, som legger til at Unitech er blitt oppfordret av flere kunder om å utvide produksjonen med sitt"
"tu.no",". </s><s> Skifte brukbare turbiner </s><s> Skal Smøla oppgraderes i 2020, innebærer det også at turbiner som ikke har gått ut på <coll>dato</coll>","skiftes","ut. </s><s> – Lønnsomheten kan tenkes å gå ned om man fornyer før levetiden går ut. </s><s> Det er en av tingene som må regnes på. </s><s> Men på den"
"tu.no",", signalering. </s><s> I dag betaler verken abonnenten eller app-utvikleren for signaleringen. </s><s> Det vil også hjelpe om man","skifter","<coll>ansvaret</coll> for informasjonsoppdatering fra klienten til serveren. </s><s> I stedet for at mobilappen spør etter ny værmelding"
"tu.no",": I stedet for å skifte ut komponenter etter så og så mange timers intervall, kjøres det jevnlig testing slik at <coll>delen</coll>","skiftes","ut når den må, ikke når det er beregnet på forhånd. </s><s> Motorene er to General Electric GE CT7-2F1 à 1 300 kW. </s><s> Ifølge Bell ble de"
"tu.no","med ConocoPhillips på Ekofisk. </s><s> – Nå flytter vi fysisk fra Asker til Fornebu for å sitte sammen med Fjords, som har","skiftet","<coll>navn</coll> til NOV Wellstream Processing. </s><s> I tillegg samarbeider vi nært med NOVs danske produksjonsbedrift for fleksible"
"tu.no","ligger på bordet kan du vippe på den for å sjekke om du har tapte anrop, nye meldinger, værvarselet og slikt. </s><s> Du kan også","skifte","<coll>spor</coll> i musikkspilleren ved å vippe på telefonen. </s><s> Ingen sinke </s><s> Vi hadde forventet at den første bøyde telefonen skulle"
"tu.no","videre. </s><s> Ikke vent på at de andre ordner det for deg. </s><s> Hjelper det ikke og du føler at noe er genuint galt, kan det være lurt å","skifte","<coll>jobb</coll> . </s><s> – Du er jo ingen ""naver"", men har jobb, så du kan ikke tillate deg å ikke ville jobbe. </s><s> Alle elsker vel ferie bortsett"
"wr.no","forbudt, jfr. arbeidsmiljøloven § 14A-6 (2), da slike avtaler begrenser arbeidstakers adgang til fritt å kunne","skifte","<coll>jobb</coll> , uten at arbeidstaker selv er part i avtalen. </s><s> Rekrutteringsklausul mellom virksomheter kan likevel inngås ved"
"cw.no","anmeldelser er publisert. </s><s> Helfo (Helseøkonomiforvaltningen) opplyser at det i 2011 var 327 000 personer som ønsket å","skifte","<coll>fastlege</coll> . </s><s> I tillegg var det 275 000 som måtte bytte fordi legen avsluttet eller reduserte sin praksis. </s><s> Hele 68 prosent"
"tu.no",". </s><s> Det vi ikke-elektrikere kan gjøre er å bytte deksel på brytere, stikkontakter og koblingsbokser. </s><s> Vi kan","skifte","vanlige <coll>støpsler</coll> med to poler, og reparere bordlamper og lampetter med bevegelige ledninger og for eksempel bytte"
"fn.no","var målet en bedre balanse mellom utvikling og befolkningsvekst. </s><s> Etter befolkningskonferansen (ICPD) i Kairo i 1994","skiftet","organisasjonen <coll>fokus</coll> fra å begrense befolkningsvekst til å jobbe for den enkeltes rettigheter knyttet til seksuell"
"tu.no","for gjennomføring av formålet med arbeidsgivers virksomhet"". </s><s> Inntil i fjor høst var det en åtte timers jobb å","skifte","<coll>dyser</coll> og understøttelser langs hele produksjonslinjen om rørdimensjonen skulle endres fra 90 til 110 mm. </s><s> – Vi kjøpte"
"tu.no","er det gjort på sekunder. </s><s> Skal operatøren over fra et trinn til et annet, går det tre–fire minutter. </s><s> For en bedrift som","skifter","<coll>dimensjoner</coll> tre ganger gjennom en normal uke betyr det store besparelser. </s><s> – Hos oss krever produksjonen lite mannskap"
"tu.no","millisekund. </s><s> Skulle det være behov for å ta opp alle kanonarray, gjøres det på en halvtime. </s><s> Dette gjøres typisk når man","skifter","<coll>linje</coll> . </s><s> Dette tar gjerne noen timer, siden svingradiusen er typisk mellom tre og seks kilometer når man har så mye utstyr"
"tu.no","rustfrie stålplatene, men for hver bevegelse gnager brua platene tynnere. </s><s> En dag skal de skiftes. </s><s> Men når? </s><s> – Når vi skal","skifte","<coll>teflonplatene</coll> , er det en enorm jobb hvor vi må løfte hele veibanen på en ny måte. </s><s> Derfor er det helt selvinnlysende å"
"tu.no","sier de har sendt mer enn 15 skriftlige tilbakekallinger til alle eiere av bilmodellene der <coll>kollisjonsputene</coll> ikke er","skiftet","ut, de siste åtte årene. </s><s> Det er uvisst om sjåføren som omkom i august var klar over feilen med bilmodellens"
"tu.no","gjelder ikke handlingsregelen for Avinor? </s><s> – Jernbaneutbygging treneres av Finansdepartementet. </s><s> Nå har vi fått","skiftet","<coll>jernbanedirektør</coll> og ryddet opp i motstanden internt i fagetaten. </s><s> Fjellandet Sveits har verdens best utbygde"
"tu.no","mellom 30 minutter og tre timer. </s><s> Ofte hadde ikke dette noe konsekvens for talekundene, siden 2G- og <coll>3G-stasjonene</coll> ble","skiftet","ut separat, og ofte på natten. </s><s> Det kan selvsagt likevel ha slått ut på målingene. </s><s> Forskere fra samme Simula fikk nylig"
"tu.no",". </s><s> – Hovedplanen er å utbedre helikopterdekket på Gudrun, men parallelt jobber vi med et scenario der hele <coll>dekket</coll>","skiftes","ut. </s><s> Det er et alternativt vi vurderer for å redusere risiko i forhold til gjennomføringstid, hvis det skulle vise seg at"
"tu.no",". </s><s> 6 av 10 norske arbeidstakere blir ledere gjennom forfremmelser innad i bedriften. </s><s> Kvinner må langt oftere","skifte","<coll>arbeidssted</coll> for å avansere på karrierestigen. </s><s> De kartla også hvilke rammebetingelser som gjør det utfordrende å lede"
"cw.no","hvor mye batteri du har igjen. </s><s> Er det bra med strøm på batteriet lyser det grønt, begynner det å bli lite strøm","skifter","<coll>lyset</coll> til oransj, før det blir rødt og musa stopper å fungere. </s><s> Ulempen med en dokking er så klart at du ikke får brukt musa"
"hi.no","N settes det årlige rekekvoter, mens det nord for 62°N ikke fastsettes kvoter. </s><s> Dypvannsreken starter livet som hann og","skifter","<coll>kjønn</coll> til hunn etter å ha gytt som hann i én til to sesonger. </s><s> Rekene parrer seg om høsten, og hunnrekene bærer de"
"tu.no",", og lagt meget stor vekt på lys i hallen. </s><s> Hundre års levetid er forutsetningen for konstruksjonen, du skal slippe å","skifte","<coll>hovedbæringer</coll> i konstruksjonene i den perioden. </s><s> Må tenke hundre år fremover </s><s> Når man skaper en konstruksjon som skal"
"tu.no","direktør i IFE, til Teknisk Ukeblad. </s><s> Femti år etter at brenselet ble lastet inn i brønnen, har IFA for lengst","skiftet","<coll>navn</coll> til IFE og i 2013 gjør de en stikkprøve av stavbrønnen. </s><s> Prøven avslører at forholdene ikke er bra. </s><s> Undersøkelsene"
"tu.no","og avklare alle forhold knyttet til sikkerhet og reguleringer, sier han. </s><s> I mellomtiden har Statens Strålevern","skiftet","<coll>navn</coll> til Direktoratet for strålevern og atomsikkerhet (DSA). </s><s> Avdelingsdirektør Per Strand, gir uttrykk for at han"
"kk.no","for begge parter, men kommer gjerne til uttrykk som frustrasjon. </s><s> Er det tilfelle, oppfordres man til å søke hjelp for å","skifte","<coll>spor</coll> . </s><s> Det finnes familievernkontorer over hele landet, sier Huseby. </s><s> Derfor er det viktig å tilegne seg denne"
"vi.no","som står bak nettsiden Renates Reiser. </s><s> – Fordi sporvidden er annerledes i Kina enn i Russland og Mongolia, måtte vi få","skiftet","<coll>hjul</coll> . </s><s> Mens de holdt på, ble vi ønsket velkommen til Kina av høy, seiersaktig musikk fra stasjonen. </s><s> Renate Sandvik tar"
"ta.no","høygravid med sitt tredje barn da hun begynte på Bygg og anleggsteknikk på Skogmo. </s><s> Fem dager etter fødselen ammet hun og","skiftet","<coll>bleier</coll> i klasserommet hver skoledag. </s><s> Nå trives trebarnsmoren som rørleggerlærling. </s><s> Det har vært varslet og"
"tu.no","denne informasjonen til S Health-appen på Samsung-telefonen din. </s><s> Vi syns også det er veldig praktisk å kunne","skifte","<coll>msuikkspor</coll> på telefonen rett fra klokka, uten å fiske den ut av lomma. </s><s> Men alt i alt er det altså ikke all verdens utvalg av"
"tu.no","mikrofon integrert. </s><s> Du kan altså bruke settet til håndfri med mobilen din. </s><s> En liten tast lar deg svare på anrop, eller","skifte","<coll>spor</coll> i musikkspilleren dersom telefonen støtter dette. </s><s> Dette er et tungt hodesett. </s><s> SMS Audio oppgir ingen vekt, men"
"tu.no","og beregner farten på bilene i kjørefeltet føreren planlegger å skifte til. </s><s> Hvis systemet finner ut at det er farlig å","skifte","<coll>fil</coll> , varsles føreren. </s><s> Helautomatisk </s><s> I desember omtalte Teknisk Ukeblad Jaguars nye system som omdanner hele"
"tu.no","gjelder for hud som også er lett tilgjengelig. </s><s> For å fortsette bilmetaforen kan slik behandling sammenliknes med å","skifte","<coll>olje</coll> (beinmarg og blodceller) eller lakke karosseriet (hudstamceller i hudtransplantasjon). </s><s> Det er relativt"
"tu.no","på andre enhter? </s><s> La oss for eksempel si at du har koblet mobilen din stereoanlegget, men ikke vil gå til og fra for å","skifte","<coll>musikk</coll> . </s><s> Har du en annen mobil eller et nettbrett koblet til samme trådløse nettverk kan du ganske enkelt starte Spotify"
"vi.no",". </s><s> Hvis den som sitter i uskifte inngår nytt ekteskap eller har vært samboer i to år, kan arvingene forlange at <coll>boet</coll> blir","skiftet",". </s><s> Hva må du gjøre ved uskifte? </s><s> Når den ene ektefellen dør, må skjemaet ""Melding om uskiftet bo"" sendes inn til den lokale"
"vi.no",". </s><s> Må du på do om natta? </s><s> Sett på et lite og varmt lys framfor en kraftig lyspære. </s><s> Det er en god investering for nattesøvnen å","skifte","<coll>lyspærer</coll> på bad eller på do. </s><s> Unngå å sette på film eller gjøre noe annet gøy hvis du våkner om natta. </s><s> Gjør noe kjedelig til"
"kk.no",". </s><s> Man blir veldig selvstendig når man har en som aldri er der - som kun kommer hjem med litt skitne klær og drar igjen. </s><s> Lise","skifter","<coll>dekk</coll> på bilen, måker snø og klipper plen. </s><s> I går var hun rørlegger, og neste uke er det kanskje vaskemaskinen som går"
"cw.no","signaler er mer rettet og mindre utsatt for datamessig støy, og dermed kan yte bedre. </s><s> Et siste sikkerhetstips er å","skifte","<coll>standardinnlogging</coll> til din ruter. </s><s> Dette gjelder brukernavn og passord ved innloggingen, og helst også navnet på din"
"tu.no","Perry, som grunnla industribatteriselskapet Corvus. </s><s> Samtidig har konsulentselskapet ZEM (Zero Emission Energy)","skiftet","<coll>strategi</coll> og begynt å selge batteripakker – i sterk konkurranse med Corvus og norske Grenland Energy. </s><s> - Det er helt"
"hi.no","). </s><s> Utover minstemålet, gjør fiskere en sortering av fangsten. </s><s> Eggbærende hunnkrabber og krabber som nylig har","skiftet","<coll>skall</coll> (""vasskrabber""), sorteres ut fra fangsten og hives tilbake i sjøen. </s><s> Disse leveres ikke da de har for dårlig"
"hi.no","Vestlandet sør for Stadt. </s><s> Disse forskjellene skyldes sannsynligvis at krabben i de mer nordlige (og kalde) områdene","skifter","<coll>skall</coll> sjeldnere enn krabber lenger sør (Bakke et al. 2018). </s><s> 2.3 - Andre datakilder </s><s> 2.3.1 - Garn- og rusetokt </s><s> HIs garn- og"
"gd.no","han anbefaler er å bidra til å gjøre livet bedre for andre, for eksempel hjelpe naboen med å handle eller","skifte","<coll>dekk</coll> på bilen; vi har alle behov for å være til nytte, sier han. </s><s> Hold struktur </s><s> – Å lage, eller holde på, en struktur i måten"
"kk.no","hadde utviklet strategier der de unngikk krangelen. </s><s> I situasjoner der partene hadde ulike meninger så forskerne at de","skiftet","<coll>tema</coll> eller at de ble stille. </s><s> Slike strategier kan jo helt klart føre til at man bygger opp sinne, men psykologer som har"
"tu.no","hvilken bil som passer best. </s><s> Nå vil Grønn kontakt bygge ladenettverk i Europa </s><s> Den norske ladeoperatøren Grønn Kontakt","skifter","<coll>navn</coll> til Mer. </s><s> Målet er å rulle ut et ladenettverk i Europa, basert på erfaringene fra Norge og Sverige. </s><s> I en"
"tu.no","kontaktflate med industrien og har blitt kjent med mange hyggelige mennesker i Norge. </s><s> - Det har ikke vært nødvendig å","skifte","<coll>jobb</coll> hvert tredje år for å ha interessante arbeidsoppgaver, sier nordlendingen. </s><s> Fritt systemvalg </s><s> Fra 1985-2000 gikk"
"tu.no","tynneste 13-tommere (og etter hvert 15-tommere), og samtidig hatt veldig få ting å rette pekefingeren mot. </s><s> Nå","skifter","Samsung <coll>navn</coll> på alle sine PC-er, og Series 9 vil heretter bli kalt Ativ Book 9. </s><s> Series 7 Chronos blir videre Ativ Book 8 og"
"tu.no","er 32 år for de kommunale ledningene. </s><s> Med dagens takt på utskiftning vil det at 150 år før dagens <coll>rør</coll> er","skiftet",". </s><s> I tillegg viser undersøkelsen at hele 30 prosent av ledningene lekker og at mye vann forsvinner før det når"
"tu.no","betyr ikke at hele Nokia selges til Microsoft, men altså at den delen av selskapet som driver med telefoner og tjenester","skifter","<coll>hender</coll> . </s><s> Litt som da Google kjøpte Motorola Mobility, med andre ord. </s><s> Microsoft tar over roret </s><s> Rent praktisk betyr dette"
"tu.no","en beskjed på den låste telefonen, men det kan være dette er en mulighet som kommer etterhvert. </s><s> Det du i praksis gjør er å","skifte","<coll>passordet</coll> til telefonen din eksternt. </s><s> En tyv vil ikke se noen forskjell eller få noen hint om at du sporer den. </s><s> Før du kan"
"tu.no","stor pris på Nokias kameraapper, men vi har rynket litt på nesen over at disse har vært helt separate. </s><s> Det betyr at du må","skifte","<coll>apper</coll> for å få tilgang til de forskjellige mulighetene. </s><s> Nå er de forskjellige funksjonene i appene Smart Camera og Pro"
"tu.no","for kollektivtrafikken. </s><s> Prosjektet har møtt motstand lokalt, og etter få dager var det politikere som","skiftet","<coll>mening</coll> blant annet basert på aksjoner på Facebook og underskriftskampanjer. </s><s> Hvordan skal vi lykkes med å være en"
"tu.no","elektrisitet til det skotske kraftnettet i løpet av 2016. </s><s> Tre av de fire turbinene stammer fra Hammerfest Strøm AS, som","skiftet","<coll>navn</coll> til Andritz Hydro Hammerfest i 2012 da den østerrisk-eide vannturbinprodusenten ble majoritetseier og Statoil"
"tu.no","direktør etter Øivind Christofferesen. </s><s> Den stilligen gikk til Harald Nikolaisen, og Nordskogen valgte da å","skifte","<coll>beite</coll> . </s><s> I stedet begynner hun som regiondirektør hos Rambøll. </s><s> Statsbygg hadde først planlagt å lyse ut stillingen som"
"tu.no",". </s><s> Bilde: Colourbox </s><s> Stangeland-søsknene er konkurs. </s><s> Omsatte for nærmere 100 millioner i 2019 </s><s> Selskapet","skiftet","<coll>navn</coll> til Kvålveien GL dager før konkursen. </s><s> Gjeld: 14,6 millioner. </s><s> Kvålveien GL, som inntil nylig gikk under navnene"
"tu.no","råd til hvordan du bør og ikke bør formulere deg når du ber om høyere lønn. </s><s> Foto: Nito/Tekna </s><s> Mange som har vært klare for å","skifte","<coll>jobb</coll> har sittet på gjerdet og ventet på bedre tider under pandemien, men nå har det snudd. </s><s> Antall jobbutlysninger er"
"ba.no",". </s><s> Etter at et tyvetalls dansere hadde gjort scenen klar for rap-kongen, mot en bakgrunn av romerske skulpturer som","skiftet","<coll>farge</coll> med lyssettingen. </s><s> 34-åringen er en sjangersprengende artist som hadde satt seg fore å regjere over"
